University,Major,Application Completed,Decision ,Result,GRE_Quant,GRE_Verbal,GRE_Total,GRE_AWA,TOEFL,IELTS,UG_Score,Scale
University of Kansas,Computer Science,12/14/2014,1/29/2015,Admit,162,149,311,3.5,107,0,8,10
Western Illinois University,Computer Science,01-01-2015,1/16/2015,Admit,153,140,293,2,84,0,7.6,10
Stevens Institute of Technology,Information Systems,1/27/2015,1/30/2015,Admit,158,152,310,3,107,0,6.87,10
Syracuse University,Information Systems Management,01-01-2015,1/31/2015,Admit,157,150,307,3,98,0,8,10
New Jersey Institute of Technology,Computer Science,12-10-2014,1/13/2015,Admit,156,144,300,3,78,6.5,6.25,10
Northeastern University,Computer Science,12/13/2014,12/23/2014,Admit,163,149,312,3,100,0,7.39,10
University of Texas at Arlington,Computer Science,12/17/2014,1/28/2015,Admit,157,157,314,4,106,0,5.9,10
Ohio State University,Computer Science,1/16/2015,1/29/2015,Admit,164,152,316,4,102,0,7.19,10
University of Texas at Arlington,Computer Science,12/21/2014,1/30/2015,Admit,157,146,303,4,94,0,6.3,10
Valparaiso University,Cyber Security,1/17/2015,1/23/2015,Admit,148,133,281,2,72,6,7.5,10
University of Central Missouri,Computer Science,01-08-2015,1/29/2015,Admit,149,143,292,2,82,0,6.577,10
Valparaiso University,Information Technology,01-08-2015,1/27/2015,Admit,149,143,292,2,82,0,6.577,10
University of South Florida,Management Information Systems,11-05-2014,1/29/2015,Admit,159,146,305,3,86,0,6.2,10
Stevens Institute of Technology,Computer Science,1/21/2015,1/29/2015,Admit,163,150,313,3.5,101,0,6.7,10
Michigan State University,Computer Science,11-07-2014,1/30/2015,Admit,152,140,292,2.5,87,0,7.612,10
Clemson University,Computer Engineering,12/30/2014,02-02-2015,Admit,167,162,329,4,110,0,6.375,10
University of Massachusetts Lowell,Computer Science,01-06-2015,1/30/2015,Admit,157,146,303,3,84,7,6.705,10
Michigan Technological University,Computer Engineering,12/20/2014,02-02-2015,Admit,163,150,313,3,107,0,5.7,10
University of North Carolina at Charlotte,Computer Science,12-09-2014,02-03-2014,Admit,167,148,315,4,92,0,7.15,10
University of Central Missouri,Computer Information Systems,01-07-2015,1/27/2015,Admit,148,139,287,2.5,72,6,5.91,10
San Diego State University,Computer Science,12-01-2014,02-03-2015,Admit,161,146,307,4,103,0,7.012,10
SUNY Binghamton ,Computer Science,12-06-2014,1/13/2015,Admit,160,145,305,4,106,0,6.9,10
Wright State University,Computer Engineering,01-11-2015,02-02-2015,Admit,150,144,294,2,84,7,8,10
